Ticker
AAPL
MSFT
GOOG
AMZN
TSLA
BRK-A
NVDA
FB
V
JPM
UNH
JNJ
WMT
PG
BAC
MA
HD
XOM
DIS
KO
PFE
ABBV
CVX
AVGO
CSCO
PEP
LLY
VZ
COST
NKE
WFC
CMCSA
TMO
ABT
ADBE
ORCL
CRM
MRK
AMD
DHR
MCD
QCOM
INTC
UPS
NFLX
T
MS
PM
SCHW
UNP
TMUS
TXN
AXP
BMY
NEE
LOW
RTX
INTU
CVS
C
HON
AMGN
PYPL
BA
AMAT
GS
COP
BLK
IBM
NOW
DE
SBUX
EL
ANTM
PLD
ABNB
LMT
AMT
GE
BKNG
CHTR
CAT
MU
ISRG
SYK
TGT
MO
SPGI
MDLZ
ZTS
BX
USB
CME
PNC
MMM
ADI
ADP
SNOW
TFC
LRCX
DUK
MMC
GILD
CSX
BDX
HCA
CI
TJX
CCI
F
ICE
GM
SHW
SO
REGN
ITW
EW
CL
UBER
PSA
EOG
D
COF
ATVI
EQIX
PGR
FISV
NSC
BSX
FCX
NOC
GD
MCO
SNAP
VRTX
WM
MRNA
FIS
FDX
MRVL
MET
MAR
RIVN
SLB
EMR
PXD
WDAY
KDP
SQ
KLAC
HUM
NEM
APD
SPG
SCCO
LBSI
ECL
